bसूक्त१,Unnamed: 1,Unnamed: 2,सूक्त१ ।,sandhi
पा॒युंजन॑सी,जन॑सी॒इति॑ पा॒युम्,पा॒युंजन॑सी,पा॒युंजन॑सी जन॑सी॒इति॑ पा॒युम् पा॒युंजन॑सी ।,"पा॒युंजन॑सीजन॑सी॒इति॑पा॒युम्पा॒युंजन॑सी, पा॒युंजन॑सीजन॑सी॒इति॑पा॒युं  पा॒युंजन॑सी"
जन॑सीउ॒भे,उ॒भेइति॑ जन॑सी॒इति॑,जन॑सीउ॒भे,जन॑सीउ॒भे उ॒भेइति॑ जन॑सी॒इति॑ जन॑सीउ॒भे ।,"जन॑सीउ॒भयु॒भेइति॑जन॑सी॒इति॑जन॑सीउ॒भे, जन॑सीउ॒भ  उ॒भेइति॑जन॑सी॒इति॑जन॑सीउ॒भे"
bजन॑सी॒इति॒जन॑सी,,,जन॑सी॒इति॒जन॑सी ।,जन॑सी॒इति॒जन॑सी
उ॒भेअनु॑,अनु॑ उ॒भेइति॑,उ॒भेअनु॑,उ॒भेअनु॑ अनु॑ उ॒भेइति॑ उ॒भेअनु॑ ।,उ॒भेअनु॑अनु॑उ॒भेइति॑उ॒भेअनु॑
bउ॒भेइत्यु॒भे,,,उ॒भेइत्यु॒भे ।,उ॒भेइत्यु॒भे
अन्वित्यनु॑b॥४b॥,,,अन्वित्यनु॑॥४॥ ,अन्वित्यनु॑
सहोता॑,होता॑ सः,सहोता॑,सहोता॑ होता॑ सः सहोता॑ ।,"सहोता॑होता॑सस्सहोता॑, सहोता॑होता॑सः  सहोता॑"
होता॒विश्व॑म्,विश्व॑म् होता॑,होता॒विश्व॑म्,होता॒विश्व॑म् विश्व॑म् होता॑ होता॒विश्व॑म् ।,"होता॒विश्व॑ँविश्व॑ं  होता॑होता॒विश्व॑म्, होता॒विश्व॑ं  विश्व॑ं  होता॑होता॒विश्व॑म्"
विश्वं॒परि॑,परि॑ विश्व॑म्,विश्वं॒परि॑,विश्वं॒परि॑ परि॑ विश्व॑म् विश्वं॒परि॑ ।,"विश्वं॒परि॑परि॑विश्व॑ँविश्वं॒परि॑, विश्वं॒परि॑परि॑विश्व॑ं  विश्वं॒परि॑"
परि॑भूतु,भू॒तु॒ परि॑,परि॑भूतु,परि॑भूतु भू॒तु॒ परि॑ परि॑भूतु ।,परि॑भूतुभू॒तु॒परि॑परि॑भूतु
भू॒त्‍व॒ध्व॒रम्,अ॒ध्व॒रम् भू॒तु॒,भू॒त्‍व॒ध्व॒रम्,भू॒त्‍व॒ध्व॒रम् अ॒ध्व॒रम् भू॒तु॒ भू॒त्‍व॒ध्व॒रम् ।,"भू॒त्‍व॒ध्व॒रम॒ध्व॒रम्भू॒तु॒भू॒त्‍व॒ध्व॒रम्, भू॒त्‍व॒ध्व॒रम॒ध्व॒रं  भू॒तु॒भू॒त्‍व॒ध्व॒रम्"
अ॒ध्व॒रंतम्,तम् अ॒ध्व॒रम्,अ॒ध्व॒रंतम्,अ॒ध्व॒रंतम् तम् अ॒ध्व॒रम् अ॒ध्व॒रंतम् ।,"अ॒ध्व॒रंतन्तम॒ध्व॒रम॒ध्व॒रंतम्, अ॒ध्व॒रंतं  तम॒ध्व॒रम॒ध्व॒रंतम्"
तमु॑ह॒व्यैः,ह॒व्यैः ऊं॒इति॑ तम्,तमु॑ह॒व्यैः,तमु॑ह॒व्यैः ह॒व्यैः ऊं॒इति॑ तम् तमु॑ह॒व्यैः ।,"तमु॑ह॒व्यैर्ह॒व्यैरूं॒इति॑तन्तमु॑ह॒व्यैः, तमु॑ह॒व्यैर्ह॒व्यैरूं॒इति॑तं  तमु॑ह॒व्यैः"
b ऊँ॒इत्यूँ॑,,, ऊँ॒इत्यूँ॑ ।,ऊँ॒इत्यूँ॑
ह॒व्यैर्मनु॑षः,मनु॑षः ह॒व्यैः,ह॒व्यैर्मनु॑षः,ह॒व्यैर्मनु॑षः मनु॑षः ह॒व्यैः ह॒व्यैर्मनु॑षः ।,ह॒व्यैर्मनु॑षो मनु॑षो ह॒व्यैर्ह॒व्यैर्मनु॑षः
मनु॑षऋञ्जते,ऋ॒ञ्ज॒ते॒ मनु॑षः,मनु॑षऋञ्जते,मनु॑षऋञ्जते ऋ॒ञ्ज॒ते॒ मनु॑षः मनु॑षऋञ्जते ।,"मनु॑षऋञ्जतयृ॒ञ्ज॒ते॒मनु॑षो मनु॑षऋञ्जते, मनु॑षऋञ्जत  ऋ॒ञ्ज॒ते॒मनु॑षो मनु॑षऋञ्जते"
ऋ॒ञ्ज॒ते॒गि॒रा,गि॒रा ऋ॒ञ्ज॒ते॒,ऋ॒ञ्ज॒ते॒गि॒रा,ऋ॒ञ्ज॒ते॒गि॒रा गि॒रा ऋ॒ञ्ज॒ते॒ ऋ॒ञ्ज॒ते॒गि॒रा ।,"ऋ॒ञ्ज॒ते॒गि॒रागि॒रर्॒ञ्ज॒ते॒ऋ॒ञ्ज॒ते॒गि॒रा, ऋ॒ञ्ज॒ते॒गि॒रागि॒र  ऋ॒ञ्ज॒ते॒ऋ॒ञ्ज॒ते॒गि॒रा"
गि॒रेति॑गि॒राb॥,,,गि॒रेति॑गि॒रा॥ ,गि॒रेति॑गि॒रा
हि॒रि॒शि॒प्रोवृ॑धसा॒नासु॑,वृ॒ध॒सा॒नासु॑ हि॒रि॒ऽशि॒प्रः,हि॒रि॒शि॒प्रोवृ॑धसा॒नासु॑,हि॒रि॒शि॒प्रोवृ॑धसा॒नासु॑ वृ॒ध॒सा॒नासु॑ हि॒रि॒ऽशि॒प्रः हि॒रि॒शि॒प्रोवृ॑धसा॒नासु॑ ।,हि॒रि॒शि॒प्रोवृ॑धसा॒नासु॑वृ॒ध॒सा॒नासु॑हि॒रि॒ऽशि॒प्रो हि॒रि॒शि॒प्रोवृ॑धसा॒नासु॑
हि॒रि॒शि॒प्रइति॑हि॒रि॒bऽशि॒प्रः,,,हि॒रि॒शि॒प्रइति॑हि॒रि॒ऽशि॒प्रः ।,हि॒रि॒शि॒प्रइति॑हि॒रि॒ऽशि॒प्रः
वृ॒ध॒सा॒नासु॒जर्भु॑रत्,जर्भु॑रत् वृ॒ध॒सा॒नासु॑,वृ॒ध॒सा॒नासु॒जर्भु॑रत्,वृ॒ध॒सा॒नासु॒जर्भु॑रत् जर्भु॑रत् वृ॒ध॒सा॒नासु॑ वृ॒ध॒सा॒नासु॒जर्भु॑रत् ।,वृ॒ध॒सा॒नासु॒जर्भु॑रज्जर्भु॑रद्वृ॒ध॒सा॒नासु॑वृ॒ध॒सा॒नासु॒जर्भु॑रत्
जर्भु॑र॒द्द्यौः,द्यौः जर्भु॑रत्,जर्भु॑र॒द्द्यौः,जर्भु॑र॒द्द्यौः द्यौः जर्भु॑रत् जर्भु॑र॒द्द्यौः ।,जर्भु॑र॒द्द्यौर्द्यौर्जर्भु॑रज्जर्भु॑र॒द्द्यौः
द्यौर्न,न द्यौः,द्यौर्न,द्यौर्न न द्यौः द्यौर्न ।,द्यौर्ननद्यौर्द्यौर्न
नस्तृभिः॑,स्तृऽभिः॑ न,नस्तृभिः॑,नस्तृभिः॑ स्तृऽभिः॑ न नस्तृभिः॑ ।,नस्तृभिः॑स्तृऽभिः॑ननस्तृभिः॑
स्तृभि॑श्चितयत्,चि॒त॒य॒त् स्तृऽभिः॑,स्तृभि॑श्चितयत्,स्तृभि॑श्चितयत् चि॒त॒य॒त् स्तृऽभिः॑ स्तृभि॑श्चितयत् ।,स्तृभि॑श्चितयच्चि॒त॒य॒त्स्तृऽभिः॑स्तृभि॑श्चितयत्
स्तृभि॒रिति॒स्तृbऽभिः॑,,,स्तृभि॒रिति॒स्तृऽभिः॑ ।,स्तृभि॒रिति॒स्तृऽभिः॑
चि॒त॒य॒द्रोद॑सी,रोद॑सी॒इति॑ चि॒त॒य॒त्,चि॒त॒य॒द्रोद॑सी,चि॒त॒य॒द्रोद॑सी रोद॑सी॒इति॑ चि॒त॒य॒त् चि॒त॒य॒द्रोद॑सी ।,चि॒त॒य॒द्रोद॑सीरोद॑सी॒इति॑चि॒त॒य॒च्चि॒त॒य॒द्रोद॑सी
रोद॑सी॒अनु॑,अनु॑ रोद॑सी॒इति॑,रोद॑सी॒अनु॑,रोद॑सी॒अनु॑ अनु॑ रोद॑सी॒इति॑ रोद॑सी॒अनु॑ ।,रोद॑सी॒अनु॑अनु॑रोद॑सी॒इति॑रोद॑सी॒अनु॑
bरोद॑सी॒इति॒रोद॑सी,,,रोद॑सी॒इति॒रोद॑सी ।,रोद॑सी॒इति॒रोद॑सी
अन्वित्यनु॑b॥५b॥[२०],,,अन्वित्यनु॑॥५॥[२०] ।,अन्वित्यनु॑
सनः॑,नः॒ सः,सनः॑,सनः॑ नः॒ सः सनः॑ ।,"सनः॑नः॒सस्सनः॑, सनः॑नः॒सः  सनः॑"
नो॒रे॒वत्,रे॒वत् नः॒,नो॒रे॒वत्,नो॒रे॒वत् रे॒वत् नः॒ नो॒रे॒वत् ।,"नो॒रे॒वद्रे॒वद्नः॒नो॒रे॒वत्, नो॒रे॒वद्रे॒वन्नः॒नो॒रे॒वत्"
रे॒वत्स॑मिधा॒नः,स॒म्ऽइ॒धा॒नः रे॒वत्,रे॒वत्स॑मिधा॒नः,रे॒वत्स॑मिधा॒नः स॒म्ऽइ॒धा॒नः रे॒वत् रे॒वत्स॑मिधा॒नः ।,"रे॒वत्स॑मिधा॒नस्स॒म्ऽइ॒धा॒नो रे॒वद्रे॒वत्स॑मिधा॒नः, रे॒वत्स॑मिधा॒नः  स॒म्ऽइ॒धा॒नो रे॒वद्रे॒वत्स॑मिधा॒नः"
स॒मि॒धा॒नस्व॒स्तये॑,स्व॒स्तये॑ स॒म्ऽइ॒धा॒नः,स॒मि॒धा॒नस्व॒स्तये॑,स॒मि॒धा॒नस्व॒स्तये॑ स्व॒स्तये॑ स॒म्ऽइ॒धा॒नः स॒मि॒धा॒नस्व॒स्तये॑ ।,"स॒मि॒धा॒नस्व॒स्तये॑स्व॒स्तये॑स॒म्ऽइ॒धा॒नस्स॒मि॒धा॒नस्व॒स्तये॑, स॒मि॒धा॒नस्व॒स्तये॑स्व॒स्तये॑स॒म्ऽइ॒धा॒नः  स॒मि॒धा॒नस्व॒स्तये॑"
स॒मि॒धा॒नइति॑सं॒bऽइ॒धानः,,,स॒मि॒धा॒नइति॑सं॒ऽइ॒धानः ।,स॒मि॒धा॒नइति॑सं॒ऽइ॒धानः
स्व॒स्तये॑संदद॒स्वान्,स॒म्ऽद॒द॒स्वान् स्व॒स्तये॑,स्व॒स्तये॑संदद॒स्वान्,स्व॒स्तये॑संदद॒स्वान् स॒म्ऽद॒द॒स्वान् स्व॒स्तये॑ स्व॒स्तये॑संदद॒स्वान् ।,"स्व॒स्तये॑संदद॒स्वान्त्स॒म्ऽद॒द॒स्वान्त्स्व॒स्तये॑स्व॒स्तये॑संदद॒स्वान्, स्व॒स्तये॑संदद॒स्वान्त्स॒म्ऽद॒द॒स्वान्स्व॒स्तये॑स्व॒स्तये॑संदद॒स्वान्, स्व॒स्तये॑संदद॒स्वान्स॒म्ऽद॒द॒स्वान्त्स्व॒स्तये॑स्व॒स्तये॑संदद॒स्वान्, स्व॒स्तये॑संदद॒स्वान्स॒म्ऽद॒द॒स्वान्स्व॒स्तये॑स्व॒स्तये॑संदद॒स्वान्"
सं॒द॒द॒स्वान्र॒यिम्,र॒यिम् स॒म्ऽद॒द॒स्वान्,सं॒द॒द॒स्वान्र॒यिम्,सं॒द॒द॒स्वान्र॒यिम् र॒यिम् स॒म्ऽद॒द॒स्वान् सं॒द॒द॒स्वान्र॒यिम् ।,"सं॒द॒द॒स्वान्र॒यिं  र॒यिं  स॒म्ऽद॒द॒स्वान्त्सं॒द॒द॒स्वान्र॒यिम्, सं॒द॒द॒स्वान्र॒यिं  र॒यिं  स॒म्ऽद॒द॒स्वान्सं॒द॒द॒स्वान्र॒यिम्"
सं॒द॒द॒स्वानिति॑सं॒bऽद॒द॒स्वान्,,,सं॒द॒द॒स्वानिति॑सं॒ऽद॒द॒स्वान् ।,सं॒द॒द॒स्वानिति॑सं॒ऽद॒द॒स्वान्
र॒यिम॒स्मासु॑,अ॒स्मासु॑ र॒यिम्,र॒यिम॒स्मासु॑,र॒यिम॒स्मासु॑ अ॒स्मासु॑ र॒यिम् र॒यिम॒स्मासु॑ ।,र॒यिम॒स्मासु॑अ॒स्मासु॑र॒यिं  र॒यिम॒स्मासु॑
अ॒स्मासु॑दीदिहि,दी॒दि॒हि॒ अ॒स्मासु॑,अ॒स्मासु॑दीदिहि,अ॒स्मासु॑दीदिहि दी॒दि॒हि॒ अ॒स्मासु॑ अ॒स्मासु॑दीदिहि ।,अ॒स्मासु॑दीदिहिदी॒दि॒हि॒अ॒स्मासु॑अ॒स्मासु॑दीदिहि
दी॒दि॒हीति॑दीदिहिb॥,,,दी॒दि॒हीति॑दीदिहि॥ ,दी॒दि॒हीति॑दीदिहि
आनः॑,नः॒ आ,आनः॑,आनः॑ नः॒ आ आनः॑ ।,आनः॑नः॒आनः॑
नः॒कृ॒णु॒ष्व॒,कृ॒णु॒ष्व॒ नः॒,नः॒कृ॒णु॒ष्व॒,नः॒कृ॒णु॒ष्व॒ कृ॒णु॒ष्व॒ नः॒ नः॒कृ॒णु॒ष्व॒ ।,नः॒कृ॒णु॒ष्व॒कृ॒णु॒ष्व॒नः॒नः॒कृ॒णु॒ष्व॒
कृ॒णु॒ष्व॒स॒वि॒ताय॑,सु॒वि॒ताय॑ कृ॒णु॒ष्व॒,कृ॒णु॒ष्व॒स॒वि॒ताय॑,कृ॒णु॒ष्व॒स॒वि॒ताय॑ सु॒वि॒ताय॑ कृ॒णु॒ष्व॒ कृ॒णु॒ष्व॒स॒वि॒ताय॑ ।,कृ॒णु॒ष्व॒स॒वि॒ताय॑सु॒वि॒ताय॑कृ॒णु॒ष्व॒कृ॒णु॒ष्व॒स॒वि॒ताय॑
स॒वि॒ताय॒रोद॑सी,रोद॑सी॒इति॑ सु॒वि॒ताय॑,स॒वि॒ताय॒रोद॑सी,स॒वि॒ताय॒रोद॑सी रोद॑सी॒इति॑ सु॒वि॒ताय॑ स॒वि॒ताय॒रोद॑सी ।,स॒वि॒ताय॒रोद॑सीरोद॑सी॒इति॑सु॒वि॒ताय॑स॒वि॒ताय॒रोद॑सी
रोद॑सी॒अग्ने॑,अग्ने॑ रोद॑सी॒इति॑,रोद॑सी॒अग्ने॑,रोद॑सी॒अग्ने॑ अग्ने॑ रोद॑सी॒इति॑ रोद॑सी॒अग्ने॑ ।,रोद॑सी॒अग्ने॑अग्ने॑रोद॑सी॒इति॑रोद॑सी॒अग्ने॑
bरोद॑सी॒इति॒रोद॑सी,,,रोद॑सी॒इति॒रोद॑सी ।,रोद॑सी॒इति॒रोद॑सी
अग्ने॑ह॒व्या,ह॒व्या अग्ने॑,अग्ने॑ह॒व्या,अग्ने॑ह॒व्या ह॒व्या अग्ने॑ अग्ने॑ह॒व्या ।,अग्ने॑ह॒व्याह॒व्याग्ने॑अग्ने॑ह॒व्या
ह॒व्यामनु॑षः,मनु॑षः ह॒व्या,ह॒व्यामनु॑षः,ह॒व्यामनु॑षः मनु॑षः ह॒व्या ह॒व्यामनु॑षः ।,ह॒व्यामनु॑षो मनु॑षो ह॒व्याह॒व्यामनु॑षः
मनु॑षोदेव,दे॒व॒ मनु॑षः,मनु॑षोदेव,मनु॑षोदेव दे॒व॒ मनु॑षः मनु॑षोदेव ।,मनु॑षोदेवदे॒व॒मनु॑षो मनु॑षोदेव
दे॒व॒वी॒तये॑,वी॒तये॑ दे॒व॒,दे॒व॒वी॒तये॑,दे॒व॒वी॒तये॑ वी॒तये॑ दे॒व॒ दे॒व॒वी॒तये॑ ।,दे॒व॒वी॒तये॑वी॒तये॑दे॒व॒दे॒व॒वी॒तये॑
वी॒तय॒इति॑वी॒तये॑b॥६b॥,,,वी॒तय॒इति॑वी॒तये॑॥६॥ ,वी॒तय॒इति॑वी॒तये॑
दानः॑,नः॒ दाः,दानः॑,दानः॑ नः॒ दाः दानः॑ ।,दानः॑नः॒दा दानः॑
नो॒अ॒ग्ने॒,अ॒ग्ने॒ नः॒,नो॒अ॒ग्ने॒,नो॒अ॒ग्ने॒ अ॒ग्ने॒ नः॒ नो॒अ॒ग्ने॒ ।,नो॒अ॒ग्ने॒अ॒ग्ने॒नः॒नो॒अ॒ग्ने॒
अ॒ग्ने॒बृ॒ह॒तः,बृ॒ह॒तः अ॒ग्ने॒,अ॒ग्ने॒बृ॒ह॒तः,अ॒ग्ने॒बृ॒ह॒तः बृ॒ह॒तः अ॒ग्ने॒ अ॒ग्ने॒बृ॒ह॒तः ।,अ॒ग्ने॒बृ॒ह॒तो बृ॒ह॒तोऽ॒ग्ने॒अ॒ग्ने॒बृ॒ह॒तः
बृ॒ह॒तोदाः,दाः बृ॒ह॒तः,बृ॒ह॒तोदाः,बृ॒ह॒तोदाः दाः बृ॒ह॒तः बृ॒ह॒तोदाः ।,बृ॒ह॒तोदा दा बृ॒ह॒तो बृ॒ह॒तोदाः
दास्स॑ह॒स्रिणः॑,स॒ह॒स्रिणः॑ दाः,दास्स॑ह॒स्रिणः॑,दास्स॑ह॒स्रिणः॑ स॒ह॒स्रिणः॑ दाः दास्स॑ह॒स्रिणः॑ ।,दास्स॑ह॒स्रिणः॑स॒ह॒स्रिणः॑दा दास्स॑ह॒स्रिणः॑
स॒ह॒स्रिणो॑दु॒रः,दु॒रः स॒ह॒स्रिणः॑,स॒ह॒स्रिणो॑दु॒रः,स॒ह॒स्रिणो॑दु॒रः दु॒रः स॒ह॒स्रिणः॑ स॒ह॒स्रिणो॑दु॒रः ।,"स॒ह॒स्रिणो॑दु॒रो दु॒रस्स॒ह॒स्रिणः॑स॒ह॒स्रिणो॑दु॒रः, स॒ह॒स्रिणो॑दु॒रो दु॒रः  स॒ह॒स्रिणः॑स॒ह॒स्रिणो॑दु॒रः"
दु॒रोन,न दु॒रः,दु॒रोन,दु॒रोन न दु॒रः दु॒रोन ।,दु॒रोननदु॒रो दु॒रोन
नवाज॑म्,वाज॑म् न,नवाज॑म्,नवाज॑म् वाज॑म् न नवाज॑म् ।,"नवाज॑ँवाज॑न्ननवाज॑म्, नवाज॑ँवाज॑ं  ननवाज॑म्, नवाज॑ं  वाज॑न्ननवाज॑म्, नवाज॑ं  वाज॑ं  ननवाज॑म्"
वाजं॒श्रुत्यै॑,श्रुत्यै॑ वाज॑म्,वाजं॒श्रुत्यै॑,वाजं॒श्रुत्यै॑ श्रुत्यै॑ वाज॑म् वाजं॒श्रुत्यै॑ ।,"वाजं॒श्रुत्यै॑श्रुत्यै॑वाज॑ँवाजं॒श्रुत्यै॑, वाजं॒श्रुत्यै॑श्रुत्यै॑वाज॑ं  वाजं॒श्रुत्यै॑"
श्रुत्या॒अप॑,अप॑ श्रुत्यै॑,श्रुत्या॒अप॑,श्रुत्या॒अप॑ अप॑ श्रुत्यै॑ श्रुत्या॒अप॑ ।,श्रुत्या॒अप॑अप॑श्रुत्यै॑श्रुत्या॒अप॑
अपा॑वृधि,वृ॒धि॒ अप॑,अपा॑वृधि,अपा॑वृधि वृ॒धि॒ अप॑ अपा॑वृधि ।,अपा॑वृधिवृ॒धि॒अप॑अपा॑वृधि
वृ॒धीति॑वृधिb॥,,,वृ॒धीति॑वृधि॥ ,वृ॒धीति॑वृधि
प्राची॒द्यावा॑पृथि॒वी,द्यावा॑पृथि॒वीइति॑ प्राची॒इति॑,प्राची॒द्यावा॑पृथि॒वी,प्राची॒द्यावा॑पृथि॒वी द्यावा॑पृथि॒वीइति॑ प्राची॒इति॑ प्राची॒द्यावा॑पृथि॒वी ।,प्राची॒द्यावा॑पृथि॒वीद्यावा॑पृथि॒वीइति॑प्राची॒इति॑प्राची॒द्यावा॑पृथि॒वी
bप्राची॒इति॒प्राची॑,,,प्राची॒इति॒प्राची॑ ।,प्राची॒इति॒प्राची॑
द्यावा॑पृथि॒वीब्रह्म॑णा,ब्रह्म॑णा द्यावा॑पृथि॒वीइति॑,द्यावा॑पृथि॒वीब्रह्म॑णा,द्यावा॑पृथि॒वीब्रह्म॑णा ब्रह्म॑णा द्यावा॑पृथि॒वीइति॑ द्यावा॑पृथि॒वीब्रह्म॑णा ।,द्यावा॑पृथि॒वीब्रह्म॑णाब्रह्म॑णाद्यावा॑पृथि॒वीइति॑द्यावा॑पृथि॒वीब्रह्म॑णा
bद्यावा॑पृथि॒वीइति॒द्यावा॑पृथि॒वी,,,द्यावा॑पृथि॒वीइति॒द्यावा॑पृथि॒वी ।,द्यावा॑पृथि॒वीइति॒द्यावा॑पृथि॒वी
ब्रह्म॑णाकृधि,कृ॒धि॒ ब्रह्म॑णा,ब्रह्म॑णाकृधि,ब्रह्म॑णाकृधि कृ॒धि॒ ब्रह्म॑णा ब्रह्म॑णाकृधि ।,ब्रह्म॑णाकृधिकृ॒धि॒ब्रह्म॑णाब्रह्म॑णाकृधि
कृ॒धि॒स्वः॑,स्वः॑ कृ॒धि॒,कृ॒धि॒स्वः॑,कृ॒धि॒स्वः॑ स्वः॑ कृ॒धि॒ कृ॒धि॒स्वः॑ ।,कृ॒धि॒स्वः॑स्वः॑कृ॒धि॒कृ॒धि॒स्वः॑
स्वर्ण,न स्वः॑,स्वर्ण,स्वर्ण न स्वः॑ स्वर्ण ।,स्वर्णनस्वः॑स्वर्ण
नशु॒क्रम्,शु॒क्रम् न,नशु॒क्रम्,नशु॒क्रम् शु॒क्रम् न नशु॒क्रम् ।,"नशु॒क्रं  शु॒क्रन्ननशु॒क्रम्, नशु॒क्रं  शु॒क्रं  ननशु॒क्रम्"
शु॒क्रमु॒षसः॑,उ॒षसः॑ शु॒क्रम्,शु॒क्रमु॒षसः॑,शु॒क्रमु॒षसः॑ उ॒षसः॑ शु॒क्रम् शु॒क्रमु॒षसः॑ ।,शु॒क्रमु॒षसः॑उ॒षसः॑शु॒क्रं  शु॒क्रमु॒षसः॑
उ॒षसो॒वि,वि उ॒षसः॑,उ॒षसो॒वि,उ॒षसो॒वि वि उ॒षसः॑ उ॒षसो॒वि ।,उ॒षसो॒विव्यु॒षसः॑उ॒षसो॒वि
विदि॑द्युतुः,दि॒द्यु॒तः॒ वि,विदि॑द्युतुः,विदि॑द्युतुः दि॒द्यु॒तः॒ वि विदि॑द्युतुः ।,विदि॑द्युतुर्दि॒द्यु॒तः॒विविदि॑द्युतुः
दि॒द्यु॒तु॒रिति॑दिद्युतुःb॥७b॥,,,दि॒द्यु॒तु॒रिति॑दिद्युतुः॥७॥ ,दि॒द्यु॒तु॒रिति॑दिद्युतुः
सइ॑धा॒नः,इ॒धा॒नः सः,सइ॑धा॒नः,सइ॑धा॒नः इ॒धा॒नः सः सइ॑धा॒नः ।,"सइ॑धा॒न  इ॒धा॒नस्सस्सइ॑धा॒नः, सइ॑धा॒न  इ॒धा॒नस्सः  सइ॑धा॒नः, सइ॑धा॒न  इ॒धा॒नः  सस्सइ॑धा॒नः, सइ॑धा॒न  इ॒धा॒नः  सः  सइ॑धा॒नः, सइ॑धा॒नयि॒धा॒नस्सस्सइ॑धा॒नः, सइ॑धा॒नयि॒धा॒नस्सः  सइ॑धा॒नः, सइ॑धा॒नयि॒धा॒नः  सस्सइ॑धा॒नः, सइ॑धा॒नयि॒धा॒नः  सः  सइ॑धा॒नः"
इ॒धा॒नउ॒षसः॑,उ॒षसः॑ इ॒धा॒नः,इ॒धा॒नउ॒षसः॑,इ॒धा॒नउ॒षसः॑ उ॒षसः॑ इ॒धा॒नः इ॒धा॒नउ॒षसः॑ ।,"इ॒धा॒नउ॒षसः॑उ॒षसः॑इ॒धा॒न  इ॒धा॒नउ॒षसः॑, इ॒धा॒नउ॒षसः॑उ॒षसः॑इ॒धा॒नयि॒धा॒नउ॒षसः॑"
उ॒षसो॒राम्याः॑,राम्याः॑ उ॒षसः॑,उ॒षसो॒राम्याः॑,उ॒षसो॒राम्याः॑ राम्याः॑ उ॒षसः॑ उ॒षसो॒राम्याः॑ ।,उ॒षसो॒राम्याः॑राम्याः॑उ॒षसः॑उ॒षसो॒राम्याः॑
राम्या॒अनु॑,अनु॑ राम्याः॑,राम्या॒अनु॑,राम्या॒अनु॑ अनु॑ राम्याः॑ राम्या॒अनु॑ ।,राम्या॒अनु॑अनु॑राम्याः॑राम्या॒अनु॑
अनु॒स्वः॑,स्वः॑ अनु॑,अनु॒स्वः॑,अनु॒स्वः॑ स्वः॑ अनु॑ अनु॒स्वः॑ ।,अनु॒स्वः॑स्वः॑अनु॑अनु॒स्वः॑
स्वर्ण,न स्वः॑,स्वर्ण,स्वर्ण न स्वः॑ स्वर्ण ।,स्वर्णनस्वः॑स्वर्ण
नदी॑देत्,दी॒दे॒त् न,नदी॑देत्,नदी॑देत् दी॒दे॒त् न नदी॑देत् ।,"नदी॑देद्दी॒दे॒द्ननदी॑देत्, नदी॑देद्दी॒दे॒न्ननदी॑देत्"
दी॒दे॒द॒रु॒षेण॑,अ॒रु॒षेण॑ दी॒दे॒त्,दी॒दे॒द॒रु॒षेण॑,दी॒दे॒द॒रु॒षेण॑ अ॒रु॒षेण॑ दी॒दे॒त् दी॒दे॒द॒रु॒षेण॑ ।,दी॒दे॒द॒रु॒षेण॑अ॒रु॒षेण॑दी॒दे॒द्दी॒दे॒द॒रु॒षेण॑
अ॒रु॒षेण॑भा॒नुना॑,भा॒नुना॑ अ॒रु॒षेण॑,अ॒रु॒षेण॑भा॒नुना॑,अ॒रु॒षेण॑भा॒नुना॑ भा॒नुना॑ अ॒रु॒षेण॑ अ॒रु॒षेण॑भा॒नुना॑ ।,अ॒रु॒षेण॑भा॒नुना॑भा॒नुना॑अ॒रु॒षेण॑अ॒रु॒षेण॑भा॒नुना॑
भा॒नुनेति॑भा॒नुना॑b॥,,,भा॒नुनेति॑भा॒नुना॑॥ ,भा॒नुनेति॑भा॒नुना॑
होत्रा॑भिर॒ग्निः,अ॒ग्निः होत्रा॑भिः,होत्रा॑भिर॒ग्निः,होत्रा॑भिर॒ग्निः अ॒ग्निः होत्रा॑भिः होत्रा॑भिर॒ग्निः ।,होत्रा॑भिर॒ग्निर॒ग्निर्होत्रा॑भिर्होत्रा॑भिर॒ग्निः
अ॒ग्निर्मनु॑षः,मनु॑षः अ॒ग्निः,अ॒ग्निर्मनु॑षः,अ॒ग्निर्मनु॑षः मनु॑षः अ॒ग्निः अ॒ग्निर्मनु॑षः ।,अ॒ग्निर्मनु॑षो मनु॑षोऽ॒ग्निर॒ग्निर्मनु॑षः
मनु॑षस्वध्व॒रः,सु॒ऽअ॒ध्व॒रः मनु॑षः,मनु॑षस्वध्व॒रः,मनु॑षस्वध्व॒रः सु॒ऽअ॒ध्व॒रः मनु॑षः मनु॑षस्वध्व॒रः ।,"मनु॑षस्वध्व॒रस्सु॒ऽअ॒ध्व॒रो मनु॑षो मनु॑षस्वध्व॒रः, मनु॑षस्वध्व॒रः  सु॒ऽअ॒ध्व॒रो मनु॑षो मनु॑षस्वध्व॒रः"
स्व॒ध्व॒रोराजा॑,राजा॑ सु॒ऽअ॒ध्व॒रः,स्व॒ध्व॒रोराजा॑,स्व॒ध्व॒रोराजा॑ राजा॑ सु॒ऽअ॒ध्व॒रः स्व॒ध्व॒रोराजा॑ ।,"स्व॒ध्व॒रोराजा॑राजा॑सु॒ऽअ॒ध्व॒रस्स्व॒ध्व॒रोराजा॑, स्व॒ध्व॒रोराजा॑राजा॑सु॒ऽअ॒ध्व॒रः  स्व॒ध्व॒रोराजा॑"
स्व॒ध्व॒रइति॑सु॒bऽअ॒ध्व॒रः,,,स्व॒ध्व॒रइति॑सु॒ऽअ॒ध्व॒रः ।,स्व॒ध्व॒रइति॑सु॒ऽअ॒ध्व॒रः
